column,block
Iteration,meta
Alloy,meta
Al,raw
Co,raw
Cr,raw
Cu,raw
Fe,raw
Mn,raw
Ni,raw
V,raw
GrainSize,raw
YS,target
SD_YS,target
HV,target
SD_HV,target
d_inv_sqrt,S1_grain
SD_GS,S1_grain
VEC,S2_wen
dH_mix,S2_wen
dS_mix,S2_wen
Omega,S2_wen
delta_chi,S2_wen
delta,S2_wen
ColdWork,S3_proc
RecrystT,S3_proc
HoldTime,S3_proc
Al_frac,S4_comp
Co_frac,S4_comp
Cr_frac,S4_comp
Cu_frac,S4_comp
Fe_frac,S4_comp
Mn_frac,S4_comp
Ni_frac,S4_comp
V_frac,S4_comp
sigma_y0_VLC,S4_sss
sigma_Labusch,S4_sss
sigma_TC,S4_sss
Phi_VLC,S4_sss
eps_Labusch,S4_sss
