alloy,n_points,source,k_HP_exp,sigma0_exp,k_HP_SISSO,sigma0_SISSO,k_HP_SISSO_robust,sigma0_SISSO_robust,k_HP_M3,sigma0_M3
Co1 Cr1 Fe1 Ni1,4,Citrine,235.8538965589444,157.88853098458435,811.7767431557122,78.82070456157851,797.1076794008352,16.669306349784705,765.7572307708784,15.760960386552966
Co1 Fe1 Ni1,4,Citrine,242.68775120218802,191.97384495921577,1024.348201028548,27.83490179679646,1005.8379034685711,-60.47404439382774,765.7572307708784,47.05864184348114
Co1 Cr1 Fe1 Mn1 Ni1,15,Citrine,492.5114702935891,206.83179883557068,699.2264273326618,140.44932839457744,686.5911835564423,81.5106384541649,765.7572307708782,74.98807512533347
Al0.304 Co1 Cr1 Fe1 Ni1,3,Citrine,790.1637648171412,114.28504827383045,729.0271704752223,142.25880623990815,715.8534177988814,95.52804172912722,765.7572307708786,16.645722597094704
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,5,Citrine,714.9350607195815,130.74009097793618,699.3488031910687,119.85567035497118,686.7113480441941,110.70402627057925,765.7572307708782,71.83217875473986
Co0.25 Cr0.25 Fe1 Mn1,3,Citrine,757.6012356388782,379.68554985537605,942.8695025837447,151.05970534393703,925.8315510009462,37.360068726393735,765.7572307708782,68.86877707418773
CrFeNi,6,Schneider2021,867.3290329142088,90.88871920715039,1024.3482010285475,102.35211385139152,1005.8379034685711,28.140219360790468,765.7572307708786,6.885630119694298
CoCrFeMnNi,8,Otto2013,308.16680780578673,194.39956936802963,699.2264273326615,140.4493283945775,686.5911835564427,81.51063845416488,765.7572307708782,74.9880751253335
CoCrNi,5,Huang2019,475.4384084987654,246.0233147276001,1024.3482010285475,110.70569204739985,1005.8379034685709,65.5836826750544,765.7572307708782,64.61071658064085
CoCrFeNi,5,Huang2019,278.1005588884427,219.2905400725737,811.7767431557122,78.82070456157848,797.1076794008353,16.669306349784677,765.7572307708781,15.760960386553052
CoNiMn,5,Huang2019,242.44639450379577,240.92588098120737,1024.3482010285477,1379.3927300559421,1005.8379034685702,464.4064446723879,765.7572307708782,194.62025593553648
CoFeNiMn,5,Huang2019,199.07151725806537,214.82530479352803,811.7767431557121,666.1740998453695,797.1076794008352,108.83019253957917,765.7572307708783,113.26811490272472
