Target,FeatureSet,n_feat,Family,Model,R2_5fold,R2_LOO,R2_LOBO,RMSE_LOO,RMSE_LOBO,LOO_minus_LOBO,BIC_linear
HV,S1_grain,2,linear,OLS,0.1045,0.2317,-0.176,29.27,36.21,0.4077,648.4
HV,S1_grain,2,linear,Ridge,0.1402,0.2489,-0.1105,28.94,35.19,0.3594,646.3
HV,S1_grain,2,linear,Lasso,0.1756,0.2739,-0.0533,28.45,34.27,0.3272,643.1
HV,S1_grain,2,linear,ElasticNet,0.1416,0.1701,-0.0085,30.42,33.53,0.1786,655.7
HV,S1_grain,2,nonlinear,SVR-RBF,0.1719,0.2023,0.0638,29.83,32.31,0.1385,
HV,S1_grain,2,nonlinear,KRR-RBF,-0.1755,-0.1099,-0.5585,35.18,41.69,0.4486,
HV,S1_grain,2,nonlinear,RandomForest,0.2515,0.3235,-0.0057,27.47,33.49,0.3292,
HV,S1_grain,2,nonlinear,ExtraTrees,0.3157,0.3598,0.0077,26.72,33.26,0.3521,
HV,S1_grain,2,nonlinear,GradBoost,0.297,0.3439,-0.0175,27.05,33.68,0.3614,
HV,S1_grain,2,nonlinear,XGBoost,-0.1887,-0.1308,-0.3743,35.51,39.15,0.2435,
HV,S1_grain,2,nonlinear,LightGBM,0.1949,0.3228,0.1115,27.48,31.48,0.2113,
HV,S1_grain,2,nonlinear,MLP,0.066,0.0129,-0.7941,33.18,44.73,0.8069,
HV,S2_wen,8,linear,OLS,-0.0539,0.1393,-0.8582,30.98,45.52,0.9975,686.4
HV,S2_wen,8,linear,Ridge,-0.0014,0.1632,-0.7476,30.55,44.14,0.9108,683.7
HV,S2_wen,8,linear,Lasso,0.0868,0.2214,-0.5403,29.47,41.44,0.7617,676.9
HV,S2_wen,8,linear,ElasticNet,0.1124,0.1668,-0.2667,30.48,37.58,0.4335,683.3
HV,S2_wen,8,nonlinear,SVR-RBF,0.0425,0.0974,-0.2677,31.73,37.6,0.3651,
HV,S2_wen,8,nonlinear,KRR-RBF,-0.911,-0.8464,-2.083,45.37,58.63,1.2366,
HV,S2_wen,8,nonlinear,RandomForest,0.0198,0.3127,-1.0004,27.68,47.23,1.3131,
HV,S2_wen,8,nonlinear,ExtraTrees,-0.0373,0.3532,-0.9504,26.86,46.64,1.3036,
HV,S2_wen,8,nonlinear,GradBoost,-0.0308,0.3496,-1.2459,26.93,50.04,1.5955,
HV,S2_wen,8,nonlinear,XGBoost,0.0482,0.4751,-1.106,24.19,48.46,1.5811,
HV,S2_wen,8,nonlinear,LightGBM,0.1813,0.4695,-0.3917,24.32,39.39,0.8612,
HV,S2_wen,8,nonlinear,MLP,-0.6871,-0.0453,-2.7522,34.14,64.68,2.7068,
HV,S2_wen,8,linear,PCA-OLS(6),0.1022,0.108,-0.4929,31.54,40.8,0.6009,680.6
HV,S3_wen_proc,11,linear,OLS,0.0619,0.2291,-1.0514,29.32,47.83,1.2804,689.6
HV,S3_wen_proc,11,linear,Ridge,0.1003,0.2459,-0.9015,29.0,46.05,1.1474,687.6
HV,S3_wen_proc,11,linear,Lasso,0.1523,0.2719,-0.6765,28.49,43.24,0.9484,684.3
HV,S3_wen_proc,11,linear,ElasticNet,0.0828,0.1525,-0.376,30.74,39.17,0.5285,698.5
HV,S3_wen_proc,11,nonlinear,SVR-RBF,0.107,0.1701,-0.2039,30.42,36.64,0.374,
HV,S3_wen_proc,11,nonlinear,KRR-RBF,-1.1032,-0.9148,-2.956,46.21,66.42,2.0412,
HV,S3_wen_proc,11,nonlinear,RandomForest,0.0348,0.2941,-1.1198,28.06,48.62,1.4139,
HV,S3_wen_proc,11,nonlinear,ExtraTrees,0.1456,0.3906,-1.022,26.07,47.48,1.4125,
HV,S3_wen_proc,11,nonlinear,GradBoost,0.0105,0.3308,-1.5261,27.32,53.07,1.8569,
HV,S3_wen_proc,11,nonlinear,XGBoost,0.1525,0.4112,-1.4314,25.62,52.07,1.8425,
HV,S3_wen_proc,11,nonlinear,LightGBM,0.2812,0.4589,-0.483,24.56,40.67,0.942,
HV,S3_wen_proc,11,nonlinear,MLP,-0.0838,-0.7016,-2.8379,43.56,65.42,2.1364,
HV,S3_wen_proc,11,linear,PCA-OLS(6),-0.2175,-0.0699,-0.8803,34.54,45.79,0.8104,697.7
HV,S4_phys,24,linear,OLS,-0.1297,0.1765,-1.2406,30.3,49.99,1.4171,754.9
