Target,FeatureSet,n_feat,Family,Model,R2_5fold,R2_LOO,R2_LOBO,RMSE_LOO,RMSE_LOBO,LOO_minus_LOBO,BIC_linear
YS,S1_grain,2,linear,OLS,0.4513,0.4512,0.3936,60.09,63.16,0.0576,775.4
YS,S1_grain,2,linear,Ridge,0.4488,0.4492,0.3924,60.2,63.23,0.0568,775.8
YS,S1_grain,2,linear,Lasso,0.4431,0.4435,0.3879,60.51,63.46,0.0556,776.7
YS,S1_grain,2,linear,ElasticNet,0.3248,0.3182,0.2693,66.97,69.33,0.0489,795.6
YS,S1_grain,2,nonlinear,SVR-RBF,0.2585,0.2802,0.2156,68.82,71.84,0.0646,
YS,S1_grain,2,nonlinear,KRR-RBF,-0.02,-0.0379,-0.2147,82.64,89.4,0.1767,
YS,S1_grain,2,nonlinear,RandomForest,0.3466,0.2244,0.2188,71.43,71.69,0.0056,
YS,S1_grain,2,nonlinear,ExtraTrees,0.3249,0.272,0.1959,69.21,72.74,0.0762,
YS,S1_grain,2,nonlinear,GradBoost,0.2263,0.1268,0.0969,75.79,77.08,0.03,
YS,S1_grain,2,nonlinear,XGBoost,0.056,-0.0996,-0.1331,85.05,86.34,0.0336,
YS,S1_grain,2,nonlinear,LightGBM,0.3149,0.2852,0.1846,68.58,73.24,0.1006,
YS,S1_grain,2,nonlinear,MLP,0.2039,0.1443,-0.0766,75.03,84.16,0.2209,
YS,S2_wen,8,linear,OLS,0.6887,0.6716,0.5816,46.48,52.47,0.0901,754.9
YS,S2_wen,8,linear,Ridge,0.689,0.6711,0.5996,46.52,51.32,0.0714,755.0
YS,S2_wen,8,linear,Lasso,0.6834,0.674,0.6209,46.31,49.94,0.0531,754.2
YS,S2_wen,8,linear,ElasticNet,0.5907,0.5831,0.5714,52.37,53.1,0.0117,777.0
YS,S2_wen,8,nonlinear,SVR-RBF,0.4773,0.5151,0.4105,56.48,62.28,0.1046,
YS,S2_wen,8,nonlinear,KRR-RBF,-0.2065,-0.0448,-0.545,82.91,100.82,0.5002,
YS,S2_wen,8,nonlinear,RandomForest,0.6134,0.6074,0.5241,50.82,55.96,0.0833,
YS,S2_wen,8,nonlinear,ExtraTrees,0.626,0.6201,0.4944,49.99,57.67,0.1257,
YS,S2_wen,8,nonlinear,GradBoost,0.5862,0.5903,0.4568,51.92,59.78,0.1335,
YS,S2_wen,8,nonlinear,XGBoost,0.6227,0.5448,0.4308,54.73,61.19,0.114,
YS,S2_wen,8,nonlinear,LightGBM,0.6321,0.5742,0.6146,52.93,50.35,-0.0405,
YS,S2_wen,8,nonlinear,MLP,0.2428,0.3534,0.2857,65.22,68.55,0.0677,
YS,S2_wen,8,linear,PCA-OLS(6),0.625,0.6039,0.561,51.05,53.74,0.0429,763.2
YS,S3_wen_proc,11,linear,OLS,0.6386,0.6216,0.4917,49.9,57.83,0.1298,781.6
YS,S3_wen_proc,11,linear,Ridge,0.6405,0.6231,0.5221,49.8,56.07,0.101,781.3
YS,S3_wen_proc,11,linear,Lasso,0.6494,0.6251,0.5732,49.67,52.99,0.0518,780.8
YS,S3_wen_proc,11,linear,ElasticNet,0.5862,0.5772,0.5827,52.74,52.4,-0.0055,792.0
YS,S3_wen_proc,11,nonlinear,SVR-RBF,0.4491,0.4768,0.351,58.67,65.34,0.1257,
YS,S3_wen_proc,11,nonlinear,KRR-RBF,-0.3786,-0.2822,-1.1244,91.85,118.22,0.8422,
YS,S3_wen_proc,11,nonlinear,RandomForest,0.5851,0.5808,0.5429,52.52,54.84,0.0379,
YS,S3_wen_proc,11,nonlinear,ExtraTrees,0.6004,0.5845,0.5273,52.29,55.77,0.0572,
YS,S3_wen_proc,11,nonlinear,GradBoost,0.58,0.537,0.4799,55.19,58.49,0.057,
YS,S3_wen_proc,11,nonlinear,XGBoost,0.603,0.53,0.4754,55.61,58.75,0.0546,
YS,S3_wen_proc,11,nonlinear,LightGBM,0.6091,0.5567,0.5927,54.01,51.76,-0.0361,
YS,S3_wen_proc,11,nonlinear,MLP,0.3902,0.2497,0.1137,70.26,76.36,0.136,
YS,S3_wen_proc,11,linear,PCA-OLS(6),0.4615,0.48,0.3619,58.49,64.79,0.1181,788.5
YS,S4_phys,24,linear,OLS,0.5651,0.5314,0.347,55.52,65.55,0.1844,860.4
YS,S4_phys,24,linear,Ridge,0.6264,0.5894,0.4858,51.98,58.17,0.1036,848.2
YS,S4_phys,24,linear,Lasso,0.6458,0.612,0.5702,50.53,53.18,0.0418,842.9
YS,S4_phys,24,linear,ElasticNet,0.638,0.6079,0.6165,50.79,50.23,-0.0086,843.9
YS,S4_phys,24,nonlinear,SVR-RBF,0.4268,0.4567,0.3239,59.78,66.69,0.1328,
YS,S4_phys,24,nonlinear,KRR-RBF,-0.3815,-0.2324,-1.0598,90.05,116.41,0.8274,
YS,S4_phys,24,nonlinear,RandomForest,0.5735,0.5705,0.5151,53.16,56.48,0.0553,
YS,S4_phys,24,nonlinear,ExtraTrees,0.5851,0.5801,0.4679,52.56,59.17,0.1122,
YS,S4_phys,24,nonlinear,GradBoost,0.5422,0.5041,0.4348,57.12,60.98,0.0693,
YS,S4_phys,24,nonlinear,XGBoost,0.5753,0.4992,0.4208,57.4,61.73,0.0785,
YS,S4_phys,24,nonlinear,LightGBM,0.563,0.5576,0.5799,53.95,52.57,-0.0223,
YS,S4_phys,24,nonlinear,MLP,-0.0542,0.3766,-0.0928,64.04,84.79,0.4694,
YS,S4_phys,24,linear,PCA-OLS(6),0.5694,0.5401,0.5796,55.0,52.59,-0.0394,777.1
