model,coefficient,value,std_err,lo95,hi95,units
M3,intercept (sigma_00),229.57728253902627,38.79137228163245,152.43638462451844,306.7181804535341,MPa
M3,alpha_Al,-201.28995190848667,379.20246513810304,-955.3756398231376,552.7957360061641,MPa
M3,alpha_Co,-187.190331351895,40.68264022716693,-268.092222985734,-106.288439718056,MPa
M3,alpha_Cr,-307.70936652325685,141.2118328918507,-588.5245825033495,-26.894150543164187,MPa
M3,alpha_Cu,-334.02635827225066,159.822345400861,-651.8506193351336,-16.202097209367764,MPa
M3,alpha_Fe,-360.3655907347346,80.32470171280701,-520.1000690577629,-200.6311124117063,MPa
M3,alpha_Mn,82.31925154143113,100.51310317242147,-117.56207708497297,282.20058016783526,MPa
M3,alpha_V,291.26637816064107,125.84217365522096,41.015415116632795,541.5173412046494,MPa
M3,k_HP,765.7572307708786,132.8995466108214,501.4719076439103,1030.0425538978468,MPa
M3,R2_train,0.7261161556088654,,,,
M3,R2_LOO,0.6524897070240352,,,,
M3,n_samples,93.0,,,,
