complexity,loss,equation,score,sympy_format,lambda_format,full_r2,full_mse
1,1115.0996,133.88081,0.0,133.880810000000,PySRFunction(X=>133.880810000000),-3.027094197527447e-08,1115.100148586311
3,1113.8728,d_inv_sqrt + 133.73395,0.0005503882075332052,d_inv_sqrt + 133.73395,PySRFunction(X=>d_inv_sqrt + 133.73395),0.001100330127493332,1113.87313657966
4,978.39777,-248.05951 / log(d_inv_sqrt),0.12968192570499534,-248.05951/log(d_inv_sqrt),PySRFunction(X=>-248.05951/log(d_inv_sqrt)),0.12259174912520765,978.3980413043057
5,910.95526,55.486385 / (0.5734605 - d_inv_sqrt),0.07142251995216574,55.486385/(0.5734605 - d_inv_sqrt),PySRFunction(X=>55.486385/(0.5734605 - d_inv_sqrt)),0.18307271734646768,910.9557066956777
6,677.3675,(d_inv_sqrt * 265.98895) * log(SD_GS),0.29627982351535365,265.98895*d_inv_sqrt*log(SD_GS),PySRFunction(X=>265.98895*d_inv_sqrt*log(SD_GS)),0.39254979601914686,677.367792213273
7,667.05505,sqrt(sqrt(SD_GS)) * (d_inv_sqrt * 377.52255),0.015341385428411491,377.52255*SD_GS**(1/4)*d_inv_sqrt,PySRFunction(X=>377.52255*SD_GS**(1/4)*d_inv_sqrt),0.40179788033213637,667.05525233389
8,590.80225,(d_inv_sqrt * sqrt(SD_GS - -19.272488)) * 122.19698,0.12139121719766725,122.19698*d_inv_sqrt*sqrt(SD_GS + 19.272488),PySRFunction(X=>122.19698*d_inv_sqrt*sqrt(SD_GS + 19.272488)),0.4701798415281131,590.802519551875
9,561.1679,207.5399 - (((944.49725 / d_inv_sqrt) + -3683.9521) / SD_GS),0.05146121131256669,207.5399 - (-3683.9521 + 944.49725/d_inv_sqrt)/SD_GS,PySRFunction(X=>207.5399 - (-3683.9521 + 944.49725/d_inv_sqrt)/SD_GS),0.49675572402635104,561.16774992635
10,503.05017,(d_inv_sqrt * 1592.4733) - ((939.95636 / sqrt(SD_GS)) + -64.93002),0.10933024105622488,1592.4733*d_inv_sqrt + 64.93002 - 939.95636/sqrt(SD_GS),PySRFunction(X=>1592.4733*d_inv_sqrt + 64.93002 - 939.95636/sqrt(SD_GS)),0.5488743019665991,503.05031768034144
11,443.8463,233.06993 - ((((92.85704 / d_inv_sqrt) / d_inv_sqrt) + -954.3742) / SD_GS),0.12521157534659497,233.06993 - (-954.3742 + 92.85704/(d_inv_sqrt*d_inv_sqrt))/SD_GS,PySRFunction(X=>233.06993 - (-954.3742 + 92.85704/(d_inv_sqrt*d_inv_sqrt))/SD_GS),0.6019672852783304,443.8463258927001
12,435.279,(d_inv_sqrt * 1294.8175) + ((log(SD_GS) - (394.6668 / SD_GS)) / d_inv_sqrt),0.01949112652675804,1294.8175*d_inv_sqrt + (log(SD_GS) - 394.6668/SD_GS)/d_inv_sqrt,PySRFunction(X=>1294.8175*d_inv_sqrt + (log(SD_GS) - 394.6668/SD_GS)/d_inv_sqrt),0.6096500191723659,435.27930844524366
13,406.2548,((d_inv_sqrt * 737.726) + 125.79457) - (((783.7523 / d_inv_sqrt) + -1929.6858) / SD_GS),0.06900665584446275,d_inv_sqrt*737.726 + 125.79457 - (-1929.6858 + 783.7523/d_inv_sqrt)/SD_GS,PySRFunction(X=>d_inv_sqrt*737.726 + 125.79457 - (-1929.6858 + 783.7523/d_inv_sqrt)/SD_GS),0.6356785634416837,406.25487574163895
15,395.95288,(d_inv_sqrt * 666.6665) - ((((673.8217 / d_inv_sqrt) + -2184.297) / (SD_GS - 4.2915816)) + -118.43806),0.012842667341565257,d_inv_sqrt*666.6665 - ((-2184.297 + 673.8217/d_inv_sqrt)/(SD_GS - 1*4.2915816) - 118.43806),PySRFunction(X=>d_inv_sqrt*666.6665 - ((-2184.297 + 673.8217/d_inv_sqrt)/(SD_GS - 1*4.2915816) - 118.43806)),0.6449172428405421,395.9528232830836
