complexity,loss,equation,score,sympy_format,lambda_format,full_r2,full_mse
1,1115.0996,133.88081,0.0,133.880810000000,PySRFunction(X=>133.880810000000),-3.027094197527447e-08,1115.100148586311
3,1113.8728,d_inv_sqrt + 133.73169,0.0005503882075332052,d_inv_sqrt + 133.73169,PySRFunction(X=>d_inv_sqrt + 133.73169),0.001100330776444558,1113.8731358560144
5,1112.6497,(d_inv_sqrt + d_inv_sqrt) + 133.57741,0.000549332029220457,d_inv_sqrt + d_inv_sqrt + 133.57741,PySRFunction(X=>d_inv_sqrt + d_inv_sqrt + 133.57741),0.002197062699013985,1112.650169963218
7,1111.4308,(d_inv_sqrt + 133.42291) + (d_inv_sqrt + d_inv_sqrt),0.000548046764509725,d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + 133.42291,PySRFunction(X=>d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + 133.42291),0.003290194710282912,1111.4312183319266
9,1110.2157,((d_inv_sqrt + d_inv_sqrt) + (d_inv_sqrt + d_inv_sqrt)) + 133.27832,0.0005469367521618319,d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + 133.27832,PySRFunction(X=>d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + 133.27832),0.004379681200709862,1110.2163318213445
11,1109.005,(((d_inv_sqrt + 133.11667) + (d_inv_sqrt + d_inv_sqrt)) + d_inv_sqrt) + d_inv_sqrt,0.0005455519228493999,d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + 133.11667,PySRFunction(X=>d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + 133.11667),0.005465667589887535,1109.0053482740673
13,1107.798,((d_inv_sqrt + (d_inv_sqrt + (d_inv_sqrt + d_inv_sqrt))) + (d_inv_sqrt + d_inv_sqrt)) + 132.96179,0.0005444778445690745,d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + 132.96179,PySRFunction(X=>d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + 132.96179),0.006548002958564725,1107.7984359801696
15,1106.5951,(d_inv_sqrt + d_inv_sqrt) + (d_inv_sqrt + ((d_inv_sqrt + d_inv_sqrt) + ((d_inv_sqrt + d_inv_sqrt) + 132.8127))),0.0005432188703622495,d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + 132.8127,PySRFunction(X=>d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + 132.8127),0.007626728360052959,1106.5955491610987
17,1105.3962,((d_inv_sqrt + d_inv_sqrt) + (((d_inv_sqrt + (d_inv_sqrt + d_inv_sqrt)) + d_inv_sqrt) + 132.65192)) + (d_inv_sqrt + d_inv_sqrt),0.0005420003764925147,d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + 132.65192,PySRFunction(X=>d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + 132.65192),0.008701871409856898,1105.3966570228024
19,1104.2013,(((d_inv_sqrt + ((d_inv_sqrt + d_inv_sqrt) + d_inv_sqrt)) + d_inv_sqrt) + (d_inv_sqrt + (d_inv_sqrt + (d_inv_sqrt + d_inv_sqrt)))) + 132.4937,0.0005407772757159907,d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + 132.4937,PySRFunction(X=>d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + 132.4937),0.00977337129054956,1104.2018273828005
21,1103.0104,(d_inv_sqrt + ((d_inv_sqrt + ((d_inv_sqrt + d_inv_sqrt) + d_inv_sqrt)) + d_inv_sqrt)) + ((d_inv_sqrt + d_inv_sqrt) + ((d_inv_sqrt + d_inv_sqrt) + 132.34718)),0.0005395495663431225,d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + 132.34718,PySRFunction(X=>d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + 132.34718),0.010841358971404591,1103.0109141972407
23,1101.8236,((((((d_inv_sqrt + (d_inv_sqrt + d_inv_sqrt)) + (d_inv_sqrt + d_inv_sqrt)) + (d_inv_sqrt + d_inv_sqrt)) + d_inv_sqrt) + d_inv_sqrt) + 132.18633) + (d_inv_sqrt + d_inv_sqrt),0.0005382718674601832,d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + 132.18633,PySRFunction(X=>d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + d_inv_sqrt + 132.18633),0.011905659509482525,1101.8241125450152
