complexity,loss,equation,score,sympy_format,lambda_format,full_r2,full_mse
1,1115.0996,133.88081,0.0,133.880810000000,PySRFunction(X=>133.880810000000),-3.027094197527447e-08,1115.100148586311
3,1113.8728,d_inv_sqrt + 133.73412,0.0005503882075332052,d_inv_sqrt + 133.73412,PySRFunction(X=>d_inv_sqrt + 133.73412),0.0011003297082181618,1113.8731370471937
5,926.92426,(d_inv_sqrt * 306.23892) + 86.738106,0.09186318651948241,d_inv_sqrt*306.23892 + 86.738106,PySRFunction(X=>d_inv_sqrt*306.23892 + 86.738106),0.16875194670846938,926.9247996785806
7,672.01355,(d_inv_sqrt * (SD_GS + 103.02674)) * 6.2638044,0.16079667689732813,d_inv_sqrt*(SD_GS + 103.02674)*6.2638044,PySRFunction(X=>d_inv_sqrt*(SD_GS + 103.02674)*6.2638044),0.3973511239467509,672.0138308898597
9,501.22644,(d_inv_sqrt + (-3.5542803 / (SD_GS + 13.063151))) * 1904.3591,0.14661026449398987,(d_inv_sqrt - 3.5542803/(SD_GS + 13.063151))*1904.3591,PySRFunction(X=>(d_inv_sqrt - 3.5542803/(SD_GS + 13.063151))*1904.3591),0.5505097749696475,501.22660154683894
11,443.56927,ColdWork + (((-5.641735 / (SD_GS + 21.965664)) + d_inv_sqrt) * 1694.9694),0.06110199803327094,ColdWork + (d_inv_sqrt - 5.641735/(SD_GS + 21.965664))*1694.9694,PySRFunction(X=>ColdWork + (d_inv_sqrt - 5.641735/(SD_GS + 21.965664))*1694.9694),0.6022155645465412,443.569469652208
13,416.23965,(15.642251 / HoldTime) + (((-3.600946 / (SD_GS + 12.239208)) + d_inv_sqrt) * 1724.3783),0.031796401417583484,(d_inv_sqrt - 3.600946/(SD_GS + 12.239208))*1724.3783 + 15.642251/HoldTime,PySRFunction(X=>(d_inv_sqrt - 3.600946/(SD_GS + 12.239208))*1724.3783 + 15.642251/HoldTime),0.626724320892335,416.2397526366439
15,358.35568,(d_inv_sqrt + ((((0.40917772 / HoldTime) + -5.3807096) / (SD_GS + 18.449362)) + 0.029956304)) * 1595.6682,0.07486758169038979,(d_inv_sqrt + (-5.3807096 + 0.40917772/HoldTime)/(SD_GS + 18.449362) + 0.029956304)*1595.6682,PySRFunction(X=>(d_inv_sqrt + (-5.3807096 + 0.40917772/HoldTime)/(SD_GS + 18.449362) + 0.029956304)*1595.6682),0.678633597747373,358.35571205478755
17,356.13232,(((SD_GS / (SD_GS + 19.622572)) + (d_inv_sqrt * 3.7479365)) + -0.8937052) * (402.08124 - (-51.843616 / HoldTime)),0.0031118327762443844,(402.08124 - (-1)*51.843616/HoldTime)*(SD_GS/(SD_GS + 19.622572) + d_inv_sqrt*3.7479365 - 0.8937052),PySRFunction(X=>(402.08124 - (-1)*51.843616/HoldTime)*(SD_GS/(SD_GS + 19.622572) + d_inv_sqrt*3.7479365 - 0.8937052)),0.6806273696870666,356.13245673588796
19,329.25833,(400.37082 - (3.9891527 / (HoldTime + -0.54872745))) * (((SD_GS / (SD_GS + 20.529299)) + -0.8544809) + (d_inv_sqrt * 3.6996093)),0.03922985347998094,(400.37082 - 3.9891527/(HoldTime - 0.54872745))*(SD_GS/(SD_GS + 20.529299) + d_inv_sqrt*3.6996093 - 0.8544809),PySRFunction(X=>(400.37082 - 3.9891527/(HoldTime - 0.54872745))*(SD_GS/(SD_GS + 20.529299) + d_inv_sqrt*3.6996093 - 0.8544809)),0.7047274595154085,329.2584438008623
21,299.83685,(((d_inv_sqrt * 3.6874654) + ((SD_GS / (SD_GS + 20.50328)) + -0.8469021)) * 396.70584) - (2.14165 / ((HoldTime - Cu_frac) + -0.55825675)),0.04680207341776885,(SD_GS/(SD_GS + 20.50328) + d_inv_sqrt*3.6874654 - 0.8469021)*396.70584 - 2.14165/(-Cu_frac + HoldTime - 0.55825675),PySRFunction(X=>(SD_GS/(SD_GS + 20.50328) + d_inv_sqrt*3.6874654 - 0.8469021)*396.70584 - 2.14165/(-Cu_frac + HoldTime - 0.55825675)),0.7311121705176298,299.8368495324978
