complexity,loss,equation,score,sympy_format,lambda_format,full_r2,full_mse
1,1115.0996,133.88081,0.0,133.880810000000,PySRFunction(X=>133.880810000000),-3.027094197527447e-08,1115.100148586311
3,1073.1921,126.77605 - dH_mix,0.019153124948765265,126.77605 - dH_mix,PySRFunction(X=>126.77605 - dH_mix),0.037581849865018,1073.1925897311303
5,1045.5262,119.67136 - (dH_mix + dH_mix),0.013058589513395672,119.67136 - (dH_mix + dH_mix),PySRFunction(X=>119.67136 - (dH_mix + dH_mix)),0.06239200374442633,1045.5267842912228
7,1032.1023,112.56627 - ((dH_mix + dH_mix) + dH_mix),0.0064612546495341795,112.56627 - (dH_mix + dH_mix + dH_mix),PySRFunction(X=>112.56627 - (dH_mix + dH_mix + dH_mix)),0.07443043255300985,1032.1027309443843
9,1024.9525,(((dS_mix - dH_mix) + 100.292114) - dH_mix) - dH_mix,0.003475760000171611,-dH_mix - dH_mix - dH_mix + dS_mix + 100.292114,PySRFunction(X=>-dH_mix - dH_mix - dH_mix + dS_mix + 100.292114),0.08084212914602285,1024.9530473372529
11,1016.2433,((Omega - (dH_mix + dH_mix)) + (101.66074 - dH_mix)) - dH_mix,0.004266740530468309,Omega - dH_mix - dH_mix - (dH_mix + dH_mix) + 101.66074,PySRFunction(X=>Omega - dH_mix - dH_mix - (dH_mix + dH_mix) + 101.66074),0.088652571751339,1016.2436218911824
13,1009.2659,(((dS_mix + ((Omega - dH_mix) - dH_mix)) + 89.38574) - dH_mix) - dH_mix,0.0034447770462153362,Omega - dH_mix - dH_mix - dH_mix - dH_mix + dS_mix + 89.38574,PySRFunction(X=>Omega - dH_mix - dH_mix - dH_mix - dH_mix + dS_mix + 89.38574),0.09490955826742398,1009.2664555085989
15,1005.5905,(((dS_mix + Omega) + (77.112755 + (dS_mix - (dH_mix + dH_mix)))) - dH_mix) - dH_mix,0.0018241518733876543,Omega - dH_mix - dH_mix + dS_mix + dS_mix - (dH_mix + dH_mix) + 77.112755,PySRFunction(X=>Omega - dH_mix - dH_mix + dS_mix + dS_mix - (dH_mix + dH_mix) + 77.112755),0.09820558472392649,1005.5910560284665
17,1002.8327,(((Omega - dH_mix) + ((((Omega + dS_mix) + 78.48378) - dH_mix) - dH_mix)) - dH_mix) - dH_mix,0.001373117843507035,Omega + Omega - dH_mix - dH_mix - dH_mix - dH_mix - dH_mix + dS_mix + 78.48378,PySRFunction(X=>Omega + Omega - dH_mix - dH_mix - dH_mix - dH_mix - dH_mix + dS_mix + 78.48378),0.10067875720429509,1002.8332211116101
19,999.3299,(((66.20786 - (dH_mix + dH_mix)) + dS_mix) + (dS_mix - dH_mix)) + (((Omega + Omega) - dH_mix) - dH_mix),0.001749510041678146,Omega + Omega - dH_mix - dH_mix - dH_mix + dS_mix + dS_mix - (dH_mix + dH_mix) + 66.20786,PySRFunction(X=>Omega + Omega - dH_mix - dH_mix - dH_mix + dS_mix + dS_mix - (dH_mix + dH_mix) + 66.20786),0.10382007392344872,999.3303384773608
21,998.526,(((dS_mix - dH_mix) + ((Omega + ((dS_mix - dH_mix) - -66.057625)) + d_inv_sqrt)) + ((Omega - dH_mix) - dH_mix)) - dH_mix,0.00040238139466748917,Omega + Omega - dH_mix - dH_mix - dH_mix - dH_mix - dH_mix + dS_mix + dS_mix + d_inv_sqrt - 1*(-66.057625),PySRFunction(X=>Omega + Omega - dH_mix - dH_mix - dH_mix - dH_mix - dH_mix + dS_mix + dS_mix + d_inv_sqrt - 1*(-66.057625)),0.10454088943870532,998.526557013526
23,997.7264,((((Omega - dH_mix) - dH_mix) + ((d_inv_sqrt + dS_mix) - ((dH_mix - Omega) + (dH_mix - d_inv_sqrt)))) + (dS_mix - dH_mix)) - -65.90313,0.0004005505730451681,Omega - dH_mix - dH_mix - dH_mix + dS_mix + dS_mix + d_inv_sqrt - (-Omega + dH_mix + dH_mix - d_inv_sqrt) - 1*(-65.90313),PySRFunction(X=>Omega - dH_mix - dH_mix - dH_mix + dS_mix + dS_mix + d_inv_sqrt - (-Omega + dH_mix + dH_mix - d_inv_sqrt) - 1*(-65.90313)),0.1052580979092208,997.7267977656962
25,996.93054,(((d_inv_sqrt + (dS_mix + (((Omega - dH_mix) - dH_mix) - ((dH_mix - d_inv_sqrt) + (dH_mix - Omega))))) + dS_mix) + (d_inv_sqrt - dH_mix)) - -65.75061,0.00039899595076892005,Omega - dH_mix - dH_mix - dH_mix + dS_mix + dS_mix + d_inv_sqrt + d_inv_sqrt - (-Omega + dH_mix + dH_mix - d_inv_sqrt) - 1*(-65.75061),PySRFunction(X=>Omega - dH_mix - dH_mix - dH_mix + dS_mix + dS_mix + d_inv_sqrt + d_inv_sqrt - (-Omega + dH_mix + dH_mix - d_inv_sqrt) - 1*(-65.75061)),0.1059717049284602,996.9310544965981
