complexity,loss,equation,score,sympy_format,lambda_format,full_r2,full_mse
1,1115.0996,133.88081,0.0,133.880810000000,PySRFunction(X=>133.880810000000),-3.027094197527447e-08,1115.100148586311
3,1073.1921,126.77604 - dH_mix,0.019153124948765265,126.77604 - dH_mix,PySRFunction(X=>126.77604 - dH_mix),0.03758184981181367,1073.1925897904584
5,926.9244,(d_inv_sqrt * 306.2492) + 86.73644,0.07326037425968024,d_inv_sqrt*306.2492 + 86.73644,PySRFunction(X=>d_inv_sqrt*306.2492 + 86.73644),0.16875194612930255,926.9248003244096
7,672.0136,d_inv_sqrt * (645.3406 - (SD_GS * -6.2638335)),0.1607967152142688,d_inv_sqrt*(645.3406 - (-6.2638335)*SD_GS),PySRFunction(X=>d_inv_sqrt*(645.3406 - (-6.2638335)*SD_GS)),0.39735112405298134,672.0138307714021
9,501.235,(-6809.4727 / (SD_GS + 13.134105)) + (d_inv_sqrt * 1908.5139),0.14660176271381045,d_inv_sqrt*1908.5139 - 6809.4727/(SD_GS + 13.134105),PySRFunction(X=>d_inv_sqrt*1908.5139 - 6809.4727/(SD_GS + 13.134105)),0.550502121718487,501.2351356880869
11,372.9758,((d_inv_sqrt + delta) * 1742.653) + (-8399.563 / (SD_GS + 17.258993)),0.1477807574017443,(d_inv_sqrt + delta)*1742.653 - 8399.563/(SD_GS + 17.258993),PySRFunction(X=>(d_inv_sqrt + delta)*1742.653 - 8399.563/(SD_GS + 17.258993)),0.6655225101920892,372.97588729324616
13,359.60043,(-8412.568 / (SD_GS + 18.62602)) + (((d_inv_sqrt + delta) * 1644.4119) + dS_mix),0.018260019906329545,dS_mix + (d_inv_sqrt + delta)*1644.4119 - 8412.568/(SD_GS + 18.62602),PySRFunction(X=>dS_mix + (d_inv_sqrt + delta)*1644.4119 - 8412.568/(SD_GS + 18.62602)),0.6775172217111212,359.6005831010068
15,340.11884,(((45.117355 / HoldTime) + 1715.3774) * (delta + d_inv_sqrt)) + (-8407.03 / (SD_GS + 16.156933)),0.02784920620951716,(1715.3774 + 45.117355/HoldTime)*(d_inv_sqrt + delta) - 8407.03/(SD_GS + 16.156933),PySRFunction(X=>(1715.3774 + 45.117355/HoldTime)*(d_inv_sqrt + delta) - 8407.03/(SD_GS + 16.156933)),0.694987933821301,340.11899002076285
17,307.6185,(((-515.93317 / d_inv_sqrt) / SD_GS) - -87.64763) + ((((delta_chi + d_inv_sqrt) * d_inv_sqrt) + delta) * 2364.4233),0.050217353542457925,(d_inv_sqrt*(d_inv_sqrt + delta_chi) + delta)*2364.4233 - 1*(-87.64763) - 515.93317/(SD_GS*d_inv_sqrt),PySRFunction(X=>(d_inv_sqrt*(d_inv_sqrt + delta_chi) + delta)*2364.4233 - 1*(-87.64763) - 515.93317/(SD_GS*d_inv_sqrt)),0.7241336420529856,307.6186074247752
19,300.18826,(((delta + (d_inv_sqrt * (d_inv_sqrt + delta_chi))) * 2262.1162) + 100.15444) + ((-577.7764 / d_inv_sqrt) / (SD_GS + 1.4732565)),0.01222528384652707,(d_inv_sqrt*(d_inv_sqrt + delta_chi) + delta)*2262.1162 + 100.15444 - 577.7764/(d_inv_sqrt*(SD_GS + 1.4732565)),PySRFunction(X=>(d_inv_sqrt*(d_inv_sqrt + delta_chi) + delta)*2262.1162 + 100.15444 - 577.7764/(d_inv_sqrt*(SD_GS + 1.4732565))),0.7307969150696738,300.1883909187147
21,288.8934,((d_inv_sqrt * ((d_inv_sqrt + delta) * 3301.0325)) + ((dS_mix / HoldTime) - -132.82933)) + (((-510.19098 / d_inv_sqrt) / SD_GS) - dH_mix),0.01917602461838837,-dH_mix + d_inv_sqrt*(d_inv_sqrt + delta)*3301.0325 - 1*(-132.82933) - 510.19098/(SD_GS*d_inv_sqrt) + dS_mix/HoldTime,PySRFunction(X=>-dH_mix + d_inv_sqrt*(d_inv_sqrt + delta)*3301.0325 - 1*(-132.82933) - 510.19098/(SD_GS*d_inv_sqrt) + dS_mix/HoldTime),0.7409259353548019,288.89351923564095
23,273.7304,((11.3146 / HoldTime) + ((3242.2976 * d_inv_sqrt) * (d_inv_sqrt + delta))) + ((((-507.09448 / d_inv_sqrt) / SD_GS) - -199.25262) - (7.0868526 / delta_chi)),0.02695704077106377,3242.2976*d_inv_sqrt*(d_inv_sqrt + delta) - 1*(-199.25262) - 7.0868526/delta_chi - 507.09448/(SD_GS*d_inv_sqrt) + 11.3146/HoldTime,PySRFunction(X=>3242.2976*d_inv_sqrt*(d_inv_sqrt + delta) - 1*(-199.25262) - 7.0868526/delta_chi - 507.09448/(SD_GS*d_inv_sqrt) + 11.3146/HoldTime),0.7545238563567831,273.73047596486646
