complexity,loss,equation,score,sympy_format,lambda_format,full_r2,full_mse
1,1115.0996,133.88081,0.0,133.880810000000,PySRFunction(X=>133.880810000000),-3.027094197527447e-08,1115.100148586311
3,1073.1923,126.77818 - dH_mix,0.019153031768811096,126.77818 - dH_mix,PySRFunction(X=>126.77818 - dH_mix),0.037581857109828865,1073.1925816524408
4,987.1397,sqrt(d_inv_sqrt) * 342.43802,0.08358137428350508,342.43802*sqrt(d_inv_sqrt),PySRFunction(X=>342.43802*sqrt(d_inv_sqrt)),0.1147520359956049,987.1401063153693
5,910.95514,-55.39911 / (d_inv_sqrt - 0.57281977),0.08031791598095897,-55.39911/(d_inv_sqrt - 1*0.57281977),PySRFunction(X=>-55.39911/(d_inv_sqrt - 1*0.57281977)),0.18307308723368665,910.9552942343973
6,677.3676,d_inv_sqrt * (log(SD_GS) * 265.98572),0.2962795441551571,265.98572*d_inv_sqrt*log(SD_GS),PySRFunction(X=>265.98572*d_inv_sqrt*log(SD_GS)),0.3925497986536298,677.3677892755608
7,667.05505,sqrt(sqrt(SD_GS)) * (377.5213 * d_inv_sqrt),0.015341533058749137,377.5213*SD_GS**(1/4)*d_inv_sqrt,PySRFunction(X=>377.5213*SD_GS**(1/4)*d_inv_sqrt),0.4017978789396398,667.0552538866631
8,590.8022,d_inv_sqrt * (sqrt(SD_GS + 19.272474) * 122.197),0.12139130182835725,122.197*d_inv_sqrt*sqrt(SD_GS + 19.272474),PySRFunction(X=>122.197*d_inv_sqrt*sqrt(SD_GS + 19.272474)),0.47017984153445236,590.8025195448062
9,584.1274,(97.1153 * (sqrt(dS_mix) + sqrt(SD_GS))) * d_inv_sqrt,0.011362164692920956,d_inv_sqrt*(97.1153*sqrt(SD_GS) + 97.1153*sqrt(dS_mix)),PySRFunction(X=>d_inv_sqrt*(97.1153*sqrt(SD_GS) + 97.1153*sqrt(dS_mix))),0.47616573616151514,584.1276477588011
10,463.83423,(d_inv_sqrt * 136.33063) * sqrt(SD_GS - (dH_mix / HoldTime)),0.23059188426014213,136.33063*d_inv_sqrt*sqrt(SD_GS - dH_mix/HoldTime),PySRFunction(X=>136.33063*d_inv_sqrt*sqrt(SD_GS - dH_mix/HoldTime)),0.5840423401036623,463.8344343153151
12,438.91602,(sqrt(SD_GS + (HoldTime - (dH_mix / HoldTime))) * d_inv_sqrt) * 133.48187,0.027609564545892605,133.48187*d_inv_sqrt*sqrt(HoldTime + SD_GS - dH_mix/HoldTime),PySRFunction(X=>133.48187*d_inv_sqrt*sqrt(HoldTime + SD_GS - dH_mix/HoldTime)),0.6063885722469262,438.9161482863173
13,428.64932,d_inv_sqrt * (134.1923 * sqrt(SD_GS + square(3.8694286 + (-4.088261 / HoldTime)))),0.02366894762215498,134.1923*d_inv_sqrt*sqrt(SD_GS + (3.8694286 - 4.088261/HoldTime)**2),PySRFunction(X=>134.1923*d_inv_sqrt*sqrt(SD_GS + (3.8694286 - 4.088261/HoldTime)**2)),0.6155955087305942,428.6494923561357
14,381.51083,(sqrt(SD_GS) + (-0.39854574 / (Omega * (HoldTime + -0.6101644)))) * (d_inv_sqrt * 145.68831),0.11649991048376097,145.68831*d_inv_sqrt*(sqrt(SD_GS) - 0.39854574/(Omega*(HoldTime - 0.6101644))),PySRFunction(X=>145.68831*d_inv_sqrt*(sqrt(SD_GS) - 0.39854574/(Omega*(HoldTime - 0.6101644)))),0.6578685217707196,381.51085066083186
16,322.8475,(d_inv_sqrt * 121.22276) * ((sqrt(SD_GS) + ((-0.6045947 / Omega) / (HoldTime + -0.69436854))) - -1.4120882),0.08347958137778443,121.22276*d_inv_sqrt*(sqrt(SD_GS) + 1.4120882 - 0.6045947/(Omega*(HoldTime - 0.69436854))),PySRFunction(X=>121.22276*d_inv_sqrt*(sqrt(SD_GS) + 1.4120882 - 0.6045947/(Omega*(HoldTime - 0.69436854)))),0.7104765885078117,322.84758940125425
18,313.61005,(d_inv_sqrt * 108.02306) * (sqrt(SD_GS + -6.823098) + ((-0.6926544 / (Omega * (HoldTime + -0.68059933))) - -2.997621)),0.014514870175857914,108.02306*d_inv_sqrt*(sqrt(SD_GS - 6.823098) + 2.997621 - 0.6926544/(Omega*(HoldTime - 0.68059933))),PySRFunction(X=>108.02306*d_inv_sqrt*(sqrt(SD_GS - 6.823098) + 2.997621 - 0.6926544/(Omega*(HoldTime - 0.68059933)))),0.7187605835754314,313.6101055500905
19,311.8917,(d_inv_sqrt * ((sqrt(SD_GS) * -3.3776116) + 172.76381)) * ((-0.46558967 / ((HoldTime + -0.6770444) * Omega)) + sqrt(SD_GS)),0.0054943229902529485,d_inv_sqrt*(172.76381 - 3.3776116*sqrt(SD_GS))*(sqrt(SD_GS) - 0.46558967/(Omega*(HoldTime - 0.6770444))),PySRFunction(X=>d_inv_sqrt*(172.76381 - 3.3776116*sqrt(SD_GS))*(sqrt(SD_GS) - 0.46558967/(Omega*(HoldTime - 0.6770444)))),0.7203016903997252,311.89161715335325
20,306.10764,(d_inv_sqrt * (((((-0.58049613 / Omega) / (HoldTime + -0.6742865)) - -3.2079027) + sqrt(SD_GS - 6.911917)) * 122.97898)) + -21.966759,0.01871920736281293,d_inv_sqrt*(122.97898*sqrt(SD_GS - 6.911917) + 394.504601985246 - 71.3888219613474/(Omega*(HoldTime - 0.6742865))) - 21.966759,PySRFunction(X=>d_inv_sqrt*(122.97898*sqrt(SD_GS - 6.911917) + 394.504601985246 - 71.3888219613474/(Omega*(HoldTime - 0.6742865))) - 21.966759),0.7254885475861603,306.1077521091466
21,298.98813,(((sqrt(SD_GS) * -4.678166) + 215.38045) * ((sqrt(SD_GS) + (-0.35325602 / ((HoldTime + -0.6668011) * Omega))) * d_inv_sqrt)) + -29.74055,0.02353293119755914,d_inv_sqrt*(215.38045 - 4.678166*sqrt(SD_GS))*(sqrt(SD_GS) - 0.35325602/(Omega*(HoldTime - 0.6668011))) - 29.74055,PySRFunction(X=>d_inv_sqrt*(215.38045 - 4.678166*sqrt(SD_GS))*(sqrt(SD_GS) - 0.35325602/(Omega*(HoldTime - 0.6668011))) - 29.74055),0.7318732929951206,298.9881217704472
