complexity,loss,equation,score,sympy_format,lambda_format,full_r2,full_mse
1,6579.216,268.50946,0.0,268.509460000000,PySRFunction(X=>268.509460000000),-1.781787384302902e-08,6579.218144605862
3,4347.651,d_inv_sqrt * 1702.8094,0.2071399450270869,d_inv_sqrt*1702.8094,PySRFunction(X=>d_inv_sqrt*1702.8094),0.33918401739001325,4347.652425567255
4,3862.993,-505.28387 / log(d_inv_sqrt),0.11819342762874432,-505.28387/log(d_inv_sqrt),PySRFunction(X=>-505.28387/log(d_inv_sqrt)),0.41284909062208397,3862.993847770681
5,3753.7815,(d_inv_sqrt * 1182.4805) - -86.7994,0.0286785397307539,d_inv_sqrt*1182.4805 - 1*(-86.7994),PySRFunction(X=>d_inv_sqrt*1182.4805 - 1*(-86.7994)),0.4294484350778971,3753.783141484335
7,3251.7903,(1497.5161 - (SD_GS * -7.109719)) * d_inv_sqrt,0.07177901283849927,d_inv_sqrt*(1497.5161 - (-7.109719)*SD_GS),PySRFunction(X=>d_inv_sqrt*(1497.5161 - (-7.109719)*SD_GS)),0.5057479757859835,3251.791827777017
9,3122.7896,(1346.79 - ((SD_GS * -82.38661) * d_inv_sqrt)) * d_inv_sqrt,0.020239500648848035,d_inv_sqrt*(1346.79 - (-82.38661)*SD_GS*d_inv_sqrt),PySRFunction(X=>d_inv_sqrt*(1346.79 - (-82.38661)*SD_GS*d_inv_sqrt)),0.5253552479838852,3122.791309064871
11,2911.026,(600.68506 / log(SD_GS)) + ((SD_GS * 795.0503) * cube(d_inv_sqrt)),0.03511055427583961,795.0503*SD_GS*d_inv_sqrt**3 + 600.68506/log(SD_GS),PySRFunction(X=>795.0503*SD_GS*d_inv_sqrt**3 + 600.68506/log(SD_GS)),0.5575421562982917,2911.0266216371588
12,2810.7544,(square(cube(d_inv_sqrt) * SD_GS) * 2090.3782) + (786.7198 / log(SD_GS)),0.035052679297222236,2090.3782*SD_GS**2*d_inv_sqrt**6 + 786.7198/log(SD_GS),PySRFunction(X=>2090.3782*SD_GS**2*d_inv_sqrt**6 + 786.7198/log(SD_GS)),0.5727827409377522,2810.7554924294373
13,2810.7542,((square(cube(d_inv_sqrt)) * square(SD_GS)) * 2090.3782) + (786.7198 / log(SD_GS)),7.115527664881048e-08,2090.3782*SD_GS**2*d_inv_sqrt**6 + 786.7198/log(SD_GS),PySRFunction(X=>2090.3782*SD_GS**2*d_inv_sqrt**6 + 786.7198/log(SD_GS)),0.5727827409377522,2810.7554924294373
14,2708.113,square((cube(d_inv_sqrt) * (SD_GS + -11.320266)) * 54.111458) + (836.993 / log(SD_GS)),0.03720076351757858,2928.04988688576*d_inv_sqrt**6*(SD_GS - 11.320266)**2 + 836.993/log(SD_GS),PySRFunction(X=>2928.04988688576*d_inv_sqrt**6*(SD_GS - 11.320266)**2 + 836.993/log(SD_GS)),0.5883836195364358,2708.11391071004
