complexity,loss,equation,score,sympy_format,lambda_format,full_r2,full_mse
1,6579.216,268.50946,0.0,268.509460000000,PySRFunction(X=>268.509460000000),-1.781787384302902e-08,6579.218144605862
3,6314.6196,313.49182 - SD_GS,0.02052403642192347,313.49182 - SD_GS,PySRFunction(X=>313.49182 - SD_GS),0.040217014501317205,6314.62152056379
5,6214.0464,ColdWork + (ColdWork + 159.48972),0.008027619252727582,ColdWork + ColdWork + 159.48972,PySRFunction(X=>ColdWork + ColdWork + 159.48972),0.05550350100820611,6214.048392962392
7,6189.6304,(ColdWork + (ColdWork + ColdWork)) - -104.97289,0.001968451123758429,ColdWork + ColdWork + ColdWork - 1*(-104.97289),PySRFunction(X=>ColdWork + ColdWork + ColdWork - 1*(-104.97289)),0.0592146177417372,6189.632146847441
9,6169.461,(ColdWork + (ColdWork + ColdWork)) + (HoldTime - -102.98729),0.0016319498944276556,ColdWork + ColdWork + ColdWork + HoldTime - 1*(-102.98729),PySRFunction(X=>ColdWork + ColdWork + ColdWork + HoldTime - 1*(-102.98729)),0.06228018146051717,6169.463134764766
11,6159.9263,(ColdWork + HoldTime) + ((ColdWork + ColdWork) + (HoldTime + 100.98111)),0.0007733313642207675,ColdWork + ColdWork + ColdWork + HoldTime + HoldTime + 100.98111,PySRFunction(X=>ColdWork + ColdWork + ColdWork + HoldTime + HoldTime + 100.98111),0.0637294001262082,6159.928409193839
13,6152.281,(ColdWork + 101.198395) + (HoldTime + (HoldTime - ((Co_frac - ColdWork) - ColdWork))),0.0006209529125319043,ColdWork + HoldTime + HoldTime - (Co_frac - ColdWork - ColdWork) + 101.198395,PySRFunction(X=>ColdWork + HoldTime + HoldTime - (Co_frac - ColdWork - ColdWork) + 101.198395),0.06489150190900361,6152.282688194823
15,6144.6807,((((ColdWork + 101.38678) + HoldTime) + HoldTime) - (Co_frac - ColdWork)) - (Co_frac - ColdWork),0.0006180633194764902,ColdWork + HoldTime + HoldTime - (Co_frac - ColdWork) - (Co_frac - ColdWork) + 101.38678,PySRFunction(X=>ColdWork + HoldTime + HoldTime - (Co_frac - ColdWork) - (Co_frac - ColdWork) + 101.38678),0.06604672336932116,6144.682234337488
17,6137.1147,(HoldTime + (((Ni_frac + (100.980705 - (Co_frac - ColdWork))) + (HoldTime - Co_frac)) + ColdWork)) + ColdWork,0.0006160337890902412,-Co_frac + ColdWork + ColdWork + HoldTime + HoldTime + Ni_frac - (Co_frac - ColdWork) + 100.980705,PySRFunction(X=>-Co_frac + ColdWork + ColdWork + HoldTime + HoldTime + Ni_frac - (Co_frac - ColdWork) + 100.980705),0.06719660964901208,6137.116881796711
19,6129.5825,((Ni_frac - (Co_frac - ColdWork)) + (HoldTime + ((Ni_frac + HoldTime) + (ColdWork - (Co_frac - ColdWork))))) + 100.575905,0.0006140365922335383,ColdWork + HoldTime + HoldTime + Ni_frac + Ni_frac - (Co_frac - ColdWork) - (Co_frac - ColdWork) + 100.575905,PySRFunction(X=>ColdWork + HoldTime + HoldTime + Ni_frac + Ni_frac - (Co_frac - ColdWork) - (Co_frac - ColdWork) + 100.575905),0.06834139578501097,6129.585084213254
21,6122.084,Ni_frac + (((((Ni_frac + HoldTime) - (Co_frac - ColdWork)) + ((Ni_frac + HoldTime) - (Co_frac - ColdWork))) + ColdWork) + 100.16724),0.0006120392630907564,ColdWork + HoldTime + HoldTime + Ni_frac + Ni_frac + Ni_frac - (Co_frac - ColdWork) - (Co_frac - ColdWork) + 100.16724,PySRFunction(X=>ColdWork + HoldTime + HoldTime + Ni_frac + Ni_frac + Ni_frac - (Co_frac - ColdWork) - (Co_frac - ColdWork) + 100.16724),0.06948108095158934,6122.0868470197665
23,6114.6196,((Ni_frac - (Co_frac - ColdWork)) + (((Ni_frac + ((HoldTime + Ni_frac) + (ColdWork + Ni_frac))) + 99.7601) + HoldTime)) - (Co_frac - ColdWork),0.0006100009585781709,ColdWork + HoldTime + HoldTime + Ni_frac + Ni_frac + Ni_frac + Ni_frac - (Co_frac - ColdWork) - (Co_frac - ColdWork) + 99.7601,PySRFunction(X=>ColdWork + HoldTime + HoldTime + Ni_frac + Ni_frac + Ni_frac + Ni_frac - (Co_frac - ColdWork) - (Co_frac - ColdWork) + 99.7601),0.07061566538008446,6114.622168694228
25,6107.188,(ColdWork + (Ni_frac + (Ni_frac + Ni_frac))) + (((HoldTime + HoldTime) + (((ColdWork + Ni_frac) + (Ni_frac + 99.35821)) - Co_frac)) - (Co_frac - ColdWork)),0.0006080607025686243,-Co_frac + ColdWork + ColdWork + HoldTime + HoldTime + Ni_frac + Ni_frac + Ni_frac + Ni_frac + Ni_frac - (Co_frac - ColdWork) + 99.35821,PySRFunction(X=>-Co_frac + ColdWork + ColdWork + HoldTime + HoldTime + Ni_frac + Ni_frac + Ni_frac + Ni_frac + Ni_frac - (Co_frac - ColdWork) + 99.35821),0.07174515373717194,6107.191018533565
27,6099.791,((((Ni_frac + 98.952385) + (HoldTime + Ni_frac)) + (((Ni_frac + ColdWork) + Ni_frac) - Co_frac)) + (HoldTime + ColdWork)) + ((Ni_frac + Ni_frac) - (Co_frac - ColdWork)),0.0006059649078921486,-Co_frac + ColdWork + ColdWork + HoldTime + HoldTime + Ni_frac + Ni_frac + Ni_frac + Ni_frac + Ni_frac + Ni_frac - (Co_frac - ColdWork) + 98.952385,PySRFunction(X=>-Co_frac + ColdWork + ColdWork + HoldTime + HoldTime + Ni_frac + Ni_frac + Ni_frac + Ni_frac + Ni_frac + Ni_frac - (Co_frac - ColdWork) + 98.952385),0.07286953947580421,6099.793439612228
29,6092.4253,(Ni_frac + ((HoldTime + (Ni_frac + (ColdWork + Ni_frac))) - (Co_frac + (Co_frac - Ni_frac)))) + (((((ColdWork + HoldTime) + Ni_frac) + Ni_frac) + 99.15152) - (Co_frac - ColdWork)),0.0006041314158852796,ColdWork + ColdWork + HoldTime + HoldTime + Ni_frac + Ni_frac + Ni_frac + Ni_frac + Ni_frac - (Co_frac - ColdWork) - (Co_frac + Co_frac - Ni_frac) + 99.15152,PySRFunction(X=>ColdWork + ColdWork + HoldTime + HoldTime + Ni_frac + Ni_frac + Ni_frac + Ni_frac + Ni_frac - (Co_frac - ColdWork) - (Co_frac + Co_frac - Ni_frac) + 99.15152),0.07398909950184496,6092.427610106169
