complexity,loss,equation,score,sympy_format,lambda_format,full_r2,full_mse
1,6579.216,268.50946,0.0,268.509460000000,PySRFunction(X=>268.509460000000),-1.781787384302902e-08,6579.218144605862
3,4347.651,d_inv_sqrt * 1702.8094,0.2071399450270869,d_inv_sqrt*1702.8094,PySRFunction(X=>d_inv_sqrt*1702.8094),0.33918401739001325,4347.652425567255
5,3740.6445,(d_inv_sqrt + V_frac) * 1084.5762,0.07518888823244448,(V_frac + d_inv_sqrt)*1084.5762,PySRFunction(X=>(V_frac + d_inv_sqrt)*1084.5762),0.43144534729868633,3740.6450206022264
7,2522.6982,((V_frac + d_inv_sqrt) * 716.8919) + 99.14853,0.19696443988992576,(V_frac + d_inv_sqrt)*716.8919 + 99.14853,PySRFunction(X=>(V_frac + d_inv_sqrt)*716.8919 + 99.14853),0.6165655245317854,2522.699013318776
9,2280.5088,((V_frac + d_inv_sqrt) * 739.3913) + (Ni_frac * 223.4404),0.05046523351913799,Ni_frac*223.4404 + (V_frac + d_inv_sqrt)*739.3913,PySRFunction(X=>Ni_frac*223.4404 + (V_frac + d_inv_sqrt)*739.3913),0.6533768526604486,2280.509259682942
11,2109.055,(V_frac * 574.6877) + (((SD_GS * 6.3308043) + 1213.9778) * d_inv_sqrt),0.03907929804909202,V_frac*574.6877 + d_inv_sqrt*(SD_GS*6.3308043 + 1213.9778),PySRFunction(X=>V_frac*574.6877 + d_inv_sqrt*(SD_GS*6.3308043 + 1213.9778)),0.6794367778269468,2109.0553302353906
13,1737.2867,((1212.8368 + (16.979486 * (Ni_frac * SD_GS))) * d_inv_sqrt) + (V_frac * 546.75867),0.0969577257679722,V_frac*546.75867 + d_inv_sqrt*(16.979486*Ni_frac*SD_GS + 1212.8368),PySRFunction(X=>V_frac*546.75867 + d_inv_sqrt*(16.979486*Ni_frac*SD_GS + 1212.8368)),0.7359431941453853,1737.2872973305823
15,1529.0397,(V_frac * 548.9472) + ((((SD_GS * 175.16875) * (Ni_frac * d_inv_sqrt)) + 1098.2543) * d_inv_sqrt),0.06384231851914536,V_frac*548.9472 + d_inv_sqrt*(SD_GS*175.16875*Ni_frac*d_inv_sqrt + 1098.2543),PySRFunction(X=>V_frac*548.9472 + d_inv_sqrt*(SD_GS*175.16875*Ni_frac*d_inv_sqrt + 1098.2543)),0.7675954547272492,1529.0401739031117
17,1476.8353,((((((159.41544 * Ni_frac) * SD_GS) * d_inv_sqrt) + 954.07465) * d_inv_sqrt) + (V_frac * 550.2875)) - -28.606966,0.017369201889142052,V_frac*550.2875 + d_inv_sqrt*(159.41544*Ni_frac*SD_GS*d_inv_sqrt + 954.07465) - 1*(-28.606966),PySRFunction(X=>V_frac*550.2875 + d_inv_sqrt*(159.41544*Ni_frac*SD_GS*d_inv_sqrt + 954.07465) - 1*(-28.606966)),0.7755301543671171,1476.836054990661
19,1386.7256,(((((SD_GS * ((d_inv_sqrt * Ni_frac) * d_inv_sqrt)) * 1141.7653) + 623.07587) * d_inv_sqrt) + (V_frac * 553.53845)) - -74.87977,0.03147810140620049,V_frac*553.53845 + d_inv_sqrt*(SD_GS*d_inv_sqrt*Ni_frac*d_inv_sqrt*1141.7653 + 623.07587) - 1*(-74.87977),PySRFunction(X=>V_frac*553.53845 + d_inv_sqrt*(SD_GS*d_inv_sqrt*Ni_frac*d_inv_sqrt*1141.7653 + 623.07587) - 1*(-74.87977)),0.78922630704677,1386.7260803749655
21,1270.5898,((((((d_inv_sqrt * d_inv_sqrt) * (SD_GS * Ni_frac)) + Mn_frac) * 1230.4977) + 441.6958) * d_inv_sqrt) + ((V_frac * 585.46106) - -78.124504),0.04373204129366818,V_frac*585.46106 + d_inv_sqrt*((Mn_frac + Ni_frac*SD_GS*d_inv_sqrt*d_inv_sqrt)*1230.4977 + 441.6958) - 1*(-78.124504),PySRFunction(X=>V_frac*585.46106 + d_inv_sqrt*((Mn_frac + Ni_frac*SD_GS*d_inv_sqrt*d_inv_sqrt)*1230.4977 + 441.6958) - 1*(-78.124504)),0.8068782068939657,1270.5903826828207
