complexity,loss,equation,score,sympy_format,lambda_format,full_r2,full_mse
1,6579.216,268.50946,0.0,268.509460000000,PySRFunction(X=>268.509460000000),-1.781787384302902e-08,6579.218144605862
3,4347.651,d_inv_sqrt * 1702.8094,0.2071399450270869,d_inv_sqrt*1702.8094,PySRFunction(X=>d_inv_sqrt*1702.8094),0.33918401739001325,4347.652425567255
4,3930.1118,sqrt(d_inv_sqrt * 486425.47),0.10096782593439545,697.442090786038*sqrt(d_inv_sqrt),PySRFunction(X=>697.442090786038*sqrt(d_inv_sqrt)),0.4026473888814105,3930.1130677728547
5,3740.6448,(d_inv_sqrt + V_frac) * 1084.5602,0.049409870330413476,(V_frac + d_inv_sqrt)*1084.5602,PySRFunction(X=>(V_frac + d_inv_sqrt)*1084.5602),0.4314453496725985,3740.6450049837404
6,2500.8958,(sqrt(d_inv_sqrt) + V_frac) * 574.41254,0.40260901529039966,574.41254*V_frac + 574.41254*sqrt(d_inv_sqrt),PySRFunction(X=>574.41254*V_frac + 574.41254*sqrt(d_inv_sqrt)),0.619879410455902,2500.896235306153
8,2441.4749,(V_frac + sqrt(d_inv_sqrt - 0.024394106)) * 615.7184,0.012023331895684337,615.7184*V_frac + 615.7184*sqrt(d_inv_sqrt - 0.024394106),PySRFunction(X=>615.7184*V_frac + 615.7184*sqrt(d_inv_sqrt - 0.024394106)),0.6289110541682381,2441.475082177095
9,2280.5088,((d_inv_sqrt + (Ni_frac / 3.3100893)) + V_frac) * 739.47235,0.06820374793643921,(Ni_frac/3.3100893 + V_frac + d_inv_sqrt)*739.47235,PySRFunction(X=>(Ni_frac/3.3100893 + V_frac + d_inv_sqrt)*739.47235),0.6533768392529601,2280.5093478937315
10,2158.2021,((V_frac + sqrt(Ni_frac / 13.840778)) + d_inv_sqrt) * 663.22955,0.0551230619849611,178.27219689149*sqrt(Ni_frac) + 663.22955*V_frac + 663.22955*d_inv_sqrt,PySRFunction(X=>178.27219689149*sqrt(Ni_frac) + 663.22955*V_frac + 663.22955*d_inv_sqrt),0.6719667141116095,2158.2025080970016
11,2115.8025,((Ni_frac / 2.9762714) + (V_frac + (d_inv_sqrt * 1.6735468))) * 560.6675,0.019841340824105713,(Ni_frac/2.9762714 + V_frac + d_inv_sqrt*1.6735468)*560.6675,PySRFunction(X=>(Ni_frac/2.9762714 + V_frac + d_inv_sqrt*1.6735468)*560.6675),0.6784111943436827,2115.8028675770624
12,2099.7783,(((d_inv_sqrt * 1.5861969) + (Ni_frac / log(ColdWork))) + V_frac) * 622.5738,0.007602405428249921,622.5738*Ni_frac/log(ColdWork) + 622.5738*V_frac + 987.52463158122*d_inv_sqrt,PySRFunction(X=>622.5738*Ni_frac/log(ColdWork) + 622.5738*V_frac + 987.52463158122*d_inv_sqrt),0.6808468047354386,2099.778455779953
13,1903.7594,(((d_inv_sqrt + square(Mn_frac + cube(Ni_frac))) + V_frac) * 672.59186) + 83.250015,0.0980012048895936,(V_frac + d_inv_sqrt + (Mn_frac + Ni_frac**3)**2)*672.59186 + 83.250015,PySRFunction(X=>(V_frac + d_inv_sqrt + (Mn_frac + Ni_frac**3)**2)*672.59186 + 83.250015),0.7106403878339151,1903.7599767582658
15,1800.4341,((V_frac + (d_inv_sqrt + square(cube(Ni_frac) + Mn_frac))) * (SD_GS + 686.8709)) + 68.984146,0.027901380172688485,(SD_GS + 686.8709)*(V_frac + d_inv_sqrt + (Mn_frac + Ni_frac**3)**2) + 68.984146,PySRFunction(X=>(SD_GS + 686.8709)*(V_frac + d_inv_sqrt + (Mn_frac + Ni_frac**3)**2) + 68.984146),0.7263451980908774,1800.4346059991058
17,1741.5936,((SD_GS + 673.2657) * ((d_inv_sqrt + square(Mn_frac + cube(Ni_frac))) + (V_frac + Al_frac))) + 65.2515,0.016613623171570526,(SD_GS + 673.2657)*(Al_frac + V_frac + d_inv_sqrt + (Mn_frac + Ni_frac**3)**2) + 65.2515,PySRFunction(X=>(SD_GS + 673.2657)*(Al_frac + V_frac + d_inv_sqrt + (Mn_frac + Ni_frac**3)**2) + 65.2515),0.7352886444916391,1741.5937222123243
