complexity,loss,equation,score,sympy_format,lambda_format,full_r2,full_mse
1,6579.216,268.50946,0.0,268.509460000000,PySRFunction(X=>268.509460000000),-1.781787384302902e-08,6579.218144605862
3,6304.4497,261.44717 - dH_mix,0.021329951815523978,261.44717 - dH_mix,PySRFunction(X=>261.44717 - dH_mix),0.041762839610122504,6304.451200140764
5,6043.8447,(254.37596 - dH_mix) - dH_mix,0.021107668247436484,-dH_mix - dH_mix + 254.37596,PySRFunction(X=>-dH_mix - dH_mix + 254.37596),0.08137314498773729,6043.846364930406
7,5797.402,247.31389 - ((dH_mix + dH_mix) + dH_mix),0.020815231504759644,247.31389 - (dH_mix + dH_mix + dH_mix),PySRFunction(X=>247.31389 - (dH_mix + dH_mix + dH_mix)),0.11883089815487247,5797.403640028108
9,5565.121,240.23273 - (dH_mix + (dH_mix + (dH_mix + dH_mix))),0.020445579319423927,240.23273 - (dH_mix + dH_mix + dH_mix + dH_mix),PySRFunction(X=>240.23273 - (dH_mix + dH_mix + dH_mix + dH_mix)),0.15413615200233566,5565.1226774537145
11,5344.6245,(185.7118 - (dH_mix + dH_mix)) + (ColdWork - (dH_mix + dH_mix)),0.02021371904564293,ColdWork - (dH_mix + dH_mix) - (dH_mix + dH_mix) + 185.7118,PySRFunction(X=>ColdWork - (dH_mix + dH_mix) - (dH_mix + dH_mix) + 185.7118),0.18765025842265926,5344.626064321651
13,5130.208,(178.64479 - ((dH_mix + (dH_mix + (dH_mix + dH_mix))) + dH_mix)) + ColdWork,0.020472542633498736,ColdWork - (dH_mix + dH_mix + dH_mix + dH_mix + dH_mix) + 178.64479,PySRFunction(X=>ColdWork - (dH_mix + dH_mix + dH_mix + dH_mix + dH_mix) + 178.64479),0.22024016358147513,5130.209972790224
15,4929.954,(ColdWork - ((dH_mix + dH_mix) + dH_mix)) + (171.56859 - (dH_mix + (dH_mix + dH_mix))),0.019908273393710527,ColdWork - (dH_mix + dH_mix + dH_mix) - (dH_mix + dH_mix + dH_mix) + 171.56859,PySRFunction(X=>ColdWork - (dH_mix + dH_mix + dH_mix) - (dH_mix + dH_mix + dH_mix) + 171.56859),0.2506775353106986,4929.955868003306
17,4743.8623,((ColdWork - dH_mix) - dH_mix) + ((164.49722 - (dH_mix + dH_mix)) - (dH_mix + (dH_mix + dH_mix))),0.019239011123193497,ColdWork - dH_mix - dH_mix - (dH_mix + dH_mix) - (dH_mix + dH_mix + dH_mix) + 164.49722,PySRFunction(X=>ColdWork - dH_mix - dH_mix - (dH_mix + dH_mix) - (dH_mix + dH_mix + dH_mix) + 164.49722),0.2789623719506661,4743.863760880185
19,4571.9316,((157.4268 - dH_mix) - ((dH_mix + (dH_mix + dH_mix)) + dH_mix)) + ((ColdWork - dH_mix) - (dH_mix + dH_mix)),0.01845792497257315,ColdWork - dH_mix - dH_mix - (dH_mix + dH_mix) - (dH_mix + dH_mix + dH_mix + dH_mix) + 157.4268,PySRFunction(X=>ColdWork - dH_mix - dH_mix - (dH_mix + dH_mix) - (dH_mix + dH_mix + dH_mix + dH_mix) + 157.4268),0.3050946734899659,4571.9336514959405
