complexity,loss,equation,score,sympy_format,lambda_format,full_r2,full_mse
1,6579.216,268.50946,0.0,268.509460000000,PySRFunction(X=>268.509460000000),-1.781787384302902e-08,6579.218144605862
3,4347.651,d_inv_sqrt * 1702.7151,0.2071399450270869,d_inv_sqrt*1702.7151,PySRFunction(X=>d_inv_sqrt*1702.7151),0.3391840075154996,4347.652490533833
5,3490.1707,(d_inv_sqrt + delta_chi) * 965.51746,0.10984252652753748,(d_inv_sqrt + delta_chi)*965.51746,PySRFunction(X=>(d_inv_sqrt + delta_chi)*965.51746),0.4695157200991784,3490.1717375642206
7,2262.1047,((0.31903812 / Omega) + d_inv_sqrt) * 1030.494,0.21682749154905848,(d_inv_sqrt + 0.31903812/Omega)*1030.494,PySRFunction(X=>(d_inv_sqrt + 0.31903812/Omega)*1030.494),0.6561740835350716,2262.105667885883
9,2004.7059,((0.30565524 / Omega) + d_inv_sqrt) * (SD_GS + 1016.37115),0.06039914819358787,(SD_GS + 1016.37115)*(d_inv_sqrt + 0.30565524/Omega),PySRFunction(X=>(SD_GS + 1016.37115)*(d_inv_sqrt + 0.30565524/Omega)),0.6952971121669178,2004.706732625608
11,1902.4403,(SD_GS + 454.42896) * ((0.5877355 / Omega) + (d_inv_sqrt * 2.3111453)),0.02617996810491806,(SD_GS + 454.42896)*(d_inv_sqrt*2.3111453 + 0.5877355/Omega),PySRFunction(X=>(SD_GS + 454.42896)*(d_inv_sqrt*2.3111453 + 0.5877355/Omega)),0.7108408925065308,1902.4408128016187
13,1724.3579,(((6.1237283 / (dS_mix - HoldTime)) + (d_inv_sqrt * 65.02608)) - dH_mix) * 14.948855,0.0491413405970494,(-dH_mix + d_inv_sqrt*65.02608 + 6.1237283/(-HoldTime + dS_mix))*14.948855,PySRFunction(X=>(-dH_mix + d_inv_sqrt*65.02608 + 6.1237283/(-HoldTime + dS_mix))*14.948855),0.7379083094630623,1724.3583752066456
15,1689.367,(((Omega / ((HoldTime * -1.0305904) + dS_mix)) + (d_inv_sqrt * 51.69335)) - dH_mix) * 17.214668,0.010250423372757746,(Omega/(HoldTime*(-1.0305904) + dS_mix) - dH_mix + d_inv_sqrt*51.69335)*17.214668,PySRFunction(X=>(Omega/(HoldTime*(-1.0305904) + dS_mix) - dH_mix + d_inv_sqrt*51.69335)*17.214668),0.7432268664102131,1689.366429460313
17,1587.2466,(((d_inv_sqrt * 67.30438) + (VEC / (dS_mix - HoldTime))) - dH_mix) * ((RecrystT * -0.0064846952) + 20.623974),0.031176542780877285,(20.623974 + RecrystT*(-0.0064846952))*(VEC/(-HoldTime + dS_mix) - dH_mix + d_inv_sqrt*67.30438),PySRFunction(X=>(20.623974 + RecrystT*(-0.0064846952))*(VEC/(-HoldTime + dS_mix) - dH_mix + d_inv_sqrt*67.30438)),0.7587484252966104,1587.246709421916
19,1469.074,(((RecrystT * -0.009024233) + 22.289906) * (((d_inv_sqrt * 54.758484) + (VEC / (dS_mix - HoldTime))) - dH_mix)) - -43.886086,0.03868427333458071,(22.289906 + RecrystT*(-0.009024233))*(VEC/(-HoldTime + dS_mix) - dH_mix + d_inv_sqrt*54.758484) - 1*(-43.886086),PySRFunction(X=>(22.289906 + RecrystT*(-0.009024233))*(VEC/(-HoldTime + dS_mix) - dH_mix + d_inv_sqrt*54.758484) - 1*(-43.886086)),0.7767099096006905,1469.0741880900418
21,1365.6162,(ColdWork + (VEC / (dS_mix + (-0.33448377 - HoldTime)))) + (((d_inv_sqrt * 49.62218) - dH_mix) * ((RecrystT * -0.010640439) + 24.542711)),0.0365132574911102,ColdWork + VEC/(-HoldTime + dS_mix - 0.33448377) + (24.542711 + RecrystT*(-0.010640439))*(-dH_mix + d_inv_sqrt*49.62218),PySRFunction(X=>ColdWork + VEC/(-HoldTime + dS_mix - 0.33448377) + (24.542711 + RecrystT*(-0.010640439))*(-dH_mix + d_inv_sqrt*49.62218)),0.7924348055528232,1365.6166691631238
23,1308.0856,(((-4.72413 / ((dS_mix + -0.71782404) - HoldTime)) + 24.058008) + (RecrystT * -0.009214357)) * (((d_inv_sqrt * 45.818985) + (VEC + -4.32608)) - dH_mix),0.021520530513186465,(RecrystT*(-0.009214357) + 24.058008 - 4.72413/(-HoldTime + dS_mix - 0.71782404))*(VEC - dH_mix + d_inv_sqrt*45.818985 - 4.32608),PySRFunction(X=>(RecrystT*(-0.009214357) + 24.058008 - 4.72413/(-HoldTime + dS_mix - 0.71782404))*(VEC - dH_mix + d_inv_sqrt*45.818985 - 4.32608)),0.8011791085538276,1308.0859932220585
25,1292.5265,((RecrystT * -0.008294472) + 22.81894) * ((Omega / ((dS_mix - HoldTime) + -0.2875426)) + ((d_inv_sqrt * 44.878242) + (VEC + ((-0.6067863 / delta_chi) - dH_mix)))),0.005982932113568263,(22.81894 + RecrystT*(-0.008294472))*(Omega/(-HoldTime + dS_mix - 0.2875426) + VEC - dH_mix + d_inv_sqrt*44.878242 - 0.6067863/delta_chi),PySRFunction(X=>(22.81894 + RecrystT*(-0.008294472))*(Omega/(-HoldTime + dS_mix - 0.2875426) + VEC - dH_mix + d_inv_sqrt*44.878242 - 0.6067863/delta_chi)),0.8035439640301019,1292.527093440411
27,1263.2092,(((Omega / ((dS_mix - HoldTime) + -0.28910834)) + (((VEC + (-0.5770826 / delta_chi)) - dH_mix) + (d_inv_sqrt * 43.535744))) * ((RecrystT * -0.008569581) + 23.169035)) - HoldTime,0.011471681534141055,-HoldTime + (23.169035 + RecrystT*(-0.008569581))*(Omega/(-HoldTime + dS_mix - 0.28910834) + VEC - dH_mix + d_inv_sqrt*43.535744 - 0.5770826/delta_chi),PySRFunction(X=>-HoldTime + (23.169035 + RecrystT*(-0.008569581))*(Omega/(-HoldTime + dS_mix - 0.28910834) + VEC - dH_mix + d_inv_sqrt*43.535744 - 0.5770826/delta_chi)),0.8080000470862908,1263.2095514656387
29,1180.3213,(((Omega / ((dS_mix - HoldTime) + -0.29368255)) + ((VEC + (d_inv_sqrt * 33.217888)) + ((-0.5995044 / delta_chi) - dH_mix))) * ((RecrystT * -0.010644188) + 25.50553)) - (-16.8922 / HoldTime),0.033934388736928625,(25.50553 + RecrystT*(-0.010644188))*(Omega/(-HoldTime + dS_mix - 0.29368255) + VEC - dH_mix + d_inv_sqrt*33.217888 - 0.5995044/delta_chi) - (-1)*16.8922/HoldTime,PySRFunction(X=>(25.50553 + RecrystT*(-0.010644188))*(Omega/(-HoldTime + dS_mix - 0.29368255) + VEC - dH_mix + d_inv_sqrt*33.217888 - 0.5995044/delta_chi) - (-1)*16.8922/HoldTime),0.8205984870611011,1180.3216680665248
