complexity,loss,equation,score,sympy_format,lambda_format,full_r2,full_mse
1,6579.216,268.51236,0.0,268.512360000000,PySRFunction(X=>268.512360000000),-9.55129775270791e-09,6579.218090218256
3,4347.651,d_inv_sqrt * 1702.8094,0.2071399450270869,d_inv_sqrt*1702.8094,PySRFunction(X=>d_inv_sqrt*1702.8094),0.33918401739001325,4347.652425567255
4,3653.8064,square(dH_mix) + 211.41258,0.17386622572821228,dH_mix**2 + 211.41258,PySRFunction(X=>dH_mix**2 + 211.41258),0.44464407461211297,3653.807715923281
5,3490.1707,(delta_chi + d_inv_sqrt) * 965.51544,0.04581882732686267,(d_inv_sqrt + delta_chi)*965.51544,PySRFunction(X=>(d_inv_sqrt + delta_chi)*965.51544),0.4695157195932652,3490.1717408927343
6,3047.6938,square(dH_mix) + (d_inv_sqrt * 1329.3232),0.13556547273256916,dH_mix**2 + d_inv_sqrt*1329.3232,PySRFunction(X=>dH_mix**2 + d_inv_sqrt*1329.3232),0.536769454604889,3047.694755095743
7,2262.1047,((0.31901616 / Omega) + d_inv_sqrt) * 1030.5183,0.29808951036554787,(d_inv_sqrt + 0.31901616/Omega)*1030.5183,PySRFunction(X=>(d_inv_sqrt + 0.31901616/Omega)*1030.5183),0.6561740841347888,2262.1056639402127
9,2004.7059,(SD_GS + 1016.481) * (d_inv_sqrt + (0.30557787 / Omega)),0.06039914819358787,(SD_GS + 1016.481)*(d_inv_sqrt + 0.30557787/Omega),PySRFunction(X=>(SD_GS + 1016.481)*(d_inv_sqrt + 0.30557787/Omega)),0.6952971208088952,2004.706675768154
11,1907.4254,((0.26757124 / Omega) + d_inv_sqrt) * ((SD_GS + SD_GS) + 1039.5728),0.02487149603856805,(d_inv_sqrt + 0.26757124/Omega)*(SD_GS + SD_GS + 1039.5728),PySRFunction(X=>(d_inv_sqrt + 0.26757124/Omega)*(SD_GS + SD_GS + 1039.5728)),0.7100831743819598,1907.4260055464683
13,1855.5522,(((SD_GS + 279.9167) / Omega) - (116.20545 / (d_inv_sqrt - -0.17816894))) + 519.8181,0.013786020464479107,519.8181 - 116.20545/(d_inv_sqrt - 1*(-0.17816894)) + (SD_GS + 279.9167)/Omega,PySRFunction(X=>519.8181 - 116.20545/(d_inv_sqrt - 1*(-0.17816894)) + (SD_GS + 279.9167)/Omega),0.71796758418654,1855.5527544249367
14,1658.1705,(SD_GS / (dS_mix + -8.01053)) + ((square(dH_mix) + 319.23807) + (-17.050892 / d_inv_sqrt)),0.11246744753499634,SD_GS/(dS_mix - 8.01053) + dH_mix**2 + 319.23807 - 17.050892/d_inv_sqrt,PySRFunction(X=>SD_GS/(dS_mix - 8.01053) + dH_mix**2 + 319.23807 - 17.050892/d_inv_sqrt),0.7479683802905408,1658.1709758617976
