complexity,loss,score,equation
1,6579.2163,0.0,268.52356
3,4347.652,0.2071398528215374,d_inv_sqrt * 1702.775
4,3930.1125,0.10096787783166591,sqrt(d_inv_sqrt) * 697.43964
5,3740.6455,0.049409861308884195,(d_inv_sqrt + V_frac) * 1084.5033
6,2727.6033,0.315834878598323,sqrt(d_inv_sqrt + V_frac) * 566.9995
7,2522.699,0.07809395139438188,99.110245 + (716.9744 * (d_inv_sqrt + V_frac))
8,2444.301,0.031570167641995175,(sqrt(d_inv_sqrt) + (V_frac + -0.056218296)) * 648.6739
10,2252.509,0.04085724321460364,(d_inv_sqrt * 879.91125) - ((Ni_frac + sqrt(V_frac)) * -201.61153)
12,2116.7407,0.031083603025038993,(d_inv_sqrt * 885.1814) - ((V_frac + (sqrt(V_frac) + Ni_frac)) * -177.21324)
14,2114.9744,0.00041739579835475116,((d_inv_sqrt * 885.1814) - (((V_frac + Ni_frac) + sqrt(V_frac)) * -177.21324)) - Fe_frac
15,2047.7229,0.032314313117428876,square(5.3786783 - ((sqrt(d_inv_sqrt) * -19.629583) - ((Ni_frac * 4.8201) - (V_frac * -16.016186))))
18,2017.7719,0.004911504150518419,square((sqrt(Mn_frac) + 5.1813464) - ((sqrt(d_inv_sqrt) * -19.826496) - ((Ni_frac * 4.8490243) - (V_frac * -14.187065))))
20,1988.4738,0.0073132365094533865,square((5.1813464 + (sqrt(Mn_frac) - Fe_frac)) - ((-19.826496 * sqrt(d_inv_sqrt)) - ((Ni_frac * 4.8490243) - (-14.187065 * V_frac))))
22,1988.195,7.010893148978658e-05,square((sqrt(Mn_frac) + (5.1813464 - (Fe_frac - 0.19563112))) - ((sqrt(d_inv_sqrt) * -19.826496) - ((Ni_frac * 4.8490243) - (V_frac * -14.187065))))
